stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening F:\final project\ConsoleApplication1\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching F:\final project\ConsoleApplication1\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00011] added dtor for timer 000001D6EA7E5BB0, func 00007FFDA6381050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00014] added dtor for queue 000001D6EA7FE640, func 00007FFDA6381C30
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00018] Also searching F:\final project\ConsoleApplication1\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00026] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00027] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00151] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.02797] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.02869] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.02871] al_display=000001D6EC2B88F0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.02872] al_display->vt=000001D6EC2B0F30
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03294] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.03297] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03299] Score is : 897
